iter	Passed	Remaining
554	14576	24818
555	14601	24791
556	14629	24767
557	14656	24742
558	14684	24719
559	14710	24692
560	14736	24665
561	14763	24640
562	14789	24614
563	14815	24587
564	14843	24563
565	14870	24538
566	14897	24513
567	14924	24488
568	14950	24462
569	14976	24435
570	15001	24406
571	15025	24377
572	15054	24354
573	15091	24346
574	15126	24333
575	15160	24319
576	15199	24314
577	15235	24302
578	15268	24287
579	15302	24272
580	15330	24249
581	15355	24221
582	15381	24193
583	15406	24164
584	15430	24135
585	15454	24105
586	15481	24079
587	15505	24049
588	15529	24020
589	15554	23991
590	15582	23966
591	15608	23939
592	15633	23912
593	15659	23884
594	15685	23857
595	15710	23829
596	15733	23798
597	15758	23769
598	15783	23741
599	15821	23731
600	15848	23706
601	15873	23678
602	15901	23654
603	15932	23634
604	15960	23611
605	15986	23584
606	16011	23556
607	16036	23527
608	16063	23501
609	16090	23476
610	16116	23449
611	16144	23426
612	16169	23397
613	16194	23368
614	16222	23344
615	16246	23315
616	16273	23289
617	16299	23262
618	16324	23234
619	16353	23211
620	16379	23184
621	16410	23165
622	16434	23135
623	16463	23111
624	16487	23083
625	16513	23055
626	16538	23027
627	16564	23000
628	16589	22972
629	16616	22947
630	16641	22918
631	16668	22892
632	16691	22862
633	16716	22833
634	16741	22805
635	16767	22778
636	16794	22752
637	16819	22724
638	16846	22698
639	16871	22671
640	16899	22646
641	16924	22618
642	16949	22590
643	16974	22561
644	17001	22536
645	17028	22511
646	17054	22484
647	17081	22458
648	17106	22431
649	17130	22401
650	17155	22373
651	17183	22349
652	17210	22323
653	17234	22294
654	17261	22268
655	17284	22237
656	17309	22210
657	17332	22179
658	17359	22153
659	17384	22125
660	17410	22098
661	17439	22075
662	17464	22047
663	17491	22022
664	17516	21994
665	17543	21969
666	17569	21941
667	17594	21914
668	17618	21884
669	17643	21857
670	17668	21829
671	17695	21803
672	17721	21776
673	17754	21758
674	17780	21731
675	17805	21704
676	17832	21678
677	17858	21651
678	17885	21625
679	17912	21599
680	17936	21571
681	17961	21543
682	17989	21518
683	18013	21489
684	18038	21461
685	18063	21434
686	18089	21407
687	18113	21378
688	18140	21352
689	18165	21324
690	18191	21298
691	18219	21273
692	18244	21245
693	18270	21219
694	18296	21192
695	18323	21167
696	18350	21141
697	18375	21113
698	18402	21087
699	18427	21059
700	18452	21032
701	18476	21003
702	18501	20975
703	18528	20949
704	18554	20923
705	18581	20897
706	18608	20871
707	18634	20845
708	18660	20818
709	18687	20792
710	18710	20763
711	18737	20737
712	18763	20711
713	18788	20682
714	18813	20655
715	18840	20629
716	18866	20602
717	18892	20576
718	18919	20550
719	18944	20523
720	18979	20505
721	19003	20477
722	19029	20450
723	19056	20425
724	19084	20400
725	19109	20372
726	19136	20346
727	19162	20320
728	19188	20293
729	19214	20266
730	19239	20239
731	19267	20214
732	19292	20187
733	19318	20160
734	19344	20133
735	19370	20107
736	19393	20078
737	19417	20049
738	19442	20021
739	19468	19994
740	19493	19967
741	19517	19938
742	19542	19910
743	19568	19884
744	19595	19858
745	19620	19830
746	19646	19803
747	19670	19776
748	19695	19748
749	19719	19719
750	19747	19694
751	19770	19665
752	19797	19639
753	19822	19611
754	19849	19587
755	19874	19559
756	19901	19533
757	19929	19508
758	19953	19480
759	19978	19452
760	20002	19424
761	20028	19398
762	20055	19371
763	20079	19343
764	20102	19314
765	20129	19288
766	20154	19261
767	20180	19234
768	20205	19207
769	20231	19180
770	20255	19152
771	20280	19124
772	20307	19098
773	20332	19072
774	20358	19045
775	20382	19016
776	20409	18990
777	20445	18974
778	20469	18945
779	20494	18918
780	20521	18892
781	20548	18867
782	20573	18839
783	20603	18816
784	20629	18790
785	20657	18765
786	20683	18738
787	20710	18712
788	20735	18685
789	20761	18658
790	20786	18631
791	20813	18605
792	20839	18579
793	20866	18553
794	20891	18526
795	20924	18505
796	20949	18478
797	20980	18456
798	21006	18429
799	21034	18405
800	21062	18380
801	21088	18354
802	21115	18328
803	21143	18303
804	21170	18277
805	21196	18251
806	21223	18225
807	21250	18199
808	21279	18175
809	21304	18148
810	21330	18121
811	21356	18095
812	21380	18067
813	21407	18041
814	21432	18013
815	21456	17985
816	21483	17959
817	21509	17933
818	21536	17907
819	21564	17882
820	21588	17854
821	21613	17827
822	21640	17801
823	21669	17777
824	21693	17749
825	21718	17721
826	21751	17701
827	21780	17676
828	21805	17649
829	21830	17622
830	21855	17594
831	21880	17567
832	21905	17540
833	21931	17513
834	21956	17486
835	21983	17460
836	22007	17432
837	22033	17406
838	22059	17379
839	22085	17352
840	22109	17324
841	22135	17298
842	22158	17269
843	22185	17243
844	22217	17221
845	22243	17195
846	22271	17170
847	22299	17145
848	22325	17118
849	22351	17092
850	22376	17065
851	22402	17038
852	22428	17011
853	22453	16984
854	22481	16960
855	22505	16931
856	22532	16906
857	22556	16877
858	22584	16852
859	22609	16825
860	22636	16800
861	22662	16773
862	22687	16746
863	22715	16721
864	22741	16694
865	22768	16668
866	22794	16642
867	22819	16615
868	22845	16588
869	22871	16562
870	22896	16534
871	22924	16510
872	22953	16485
873	22978	16457
874	23003	16430
875	23030	16405
876	23055	16378
877	23083	16353
878	23113	16329
879	23140	16303
880	23164	16275
881	23190	16249
882	23217	16223
883	23246	16198
884	23271	16171
885	23296	16144
886	23322	16117
887	23347	16090
888	23371	16063
889	23396	16035
890	23420	16008
891	23447	15982
892	23472	15954
893	23497	15927
894	23523	15901
895	23548	15874
896	23574	15847
897	23600	15821
898	23633	15799
899	23659	15772
900	23684	15745
901	23709	15718
902	23734	15691
903	23762	15666
904	23787	15639
905	23814	15613
906	23842	15588
907	23871	15563
908	23897	15537
909	23921	15509
910	23946	15482
911	23972	15455
912	23998	15429
